Senior	Engineer	Junior	Principal	Software	Salary
d	d	d	d	d	c
					class
0	1	1	0	1	83000
1	1	0	0	1	185000
0	1	1	0	1	96000
0	1	0	0	1	101000
0	1	0	0	1	107000
0	1	1	0	1	91000
1	1	0	0	1	143000
0	1	0	0	1	114000
0	1	1	0	1	94000
0	1	0	1	1	253000
0	1	0	1	1	241000
0	1	1	0	1	91000
0	1	1	0	1	92000
0	1	1	0	1	100000
1	1	0	0	1	198000
0	1	1	0	1	98000
0	1	0	0	1	117000
0	1	0	1	1	232000
1	1	0	0	1	149000
1	1	0	0	1	165000
0	1	0	0	1	102000
0	1	0	1	1	226000
0	1	1	0	1	86000
0	1	1	0	1	95000
1	1	0	0	1	143000
0	1	0	1	1	285000
0	1	0	1	1	306000
0	1	0	0	1	106000
0	1	0	0	1	110000
0	1	1	0	1	84000
0	1	1	0	1	99000
0	1	1	0	1	96000
0	1	0	1	1	222000
1	1	0	0	1	186000
0	1	0	0	1	100000
0	1	0	1	1	285000
0	1	0	0	1	107000
0	1	0	1	1	239000
0	1	0	1	1	242000
1	1	0	0	1	220000
1	1	0	0	1	211000
0	1	1	0	1	90000
0	1	1	0	1	88000
0	1	0	1	1	288000
0	1	0	0	1	104000
0	1	0	1	1	234000
0	1	1	0	1	80000
0	1	0	1	1	225000
0	1	1	0	1	90000
0	1	0	1	1	274000
1	1	0	0	1	193000
0	1	0	1	1	270000
1	1	0	0	1	218000
0	1	0	0	1	117000
1	1	0	0	1	194000
0	1	0	0	1	117000
0	1	0	1	1	259000
0	1	0	0	1	115000
0	1	1	0	1	91000
0	1	0	1	1	273000
0	1	1	0	1	97000
0	1	0	0	1	108000
0	1	1	0	1	82000
0	1	1	0	1	83000
0	1	0	0	1	107000
1	1	0	0	1	147000
0	1	1	0	1	100000
0	1	0	0	1	111000
1	1	0	0	1	206000
0	1	0	0	1	119000
0	1	0	0	1	105000
0	1	0	0	1	102000
0	1	1	0	1	90000
0	1	1	0	1	91000
1	1	0	0	1	141000
0	1	1	0	1	81000
0	1	0	0	1	100000
0	1	0	1	1	299000
0	1	1	0	1	85000
1	1	0	0	1	199000
0	1	0	0	1	116000
1	1	0	0	1	189000
0	1	0	0	1	113000
1	1	0	0	1	190000
0	1	0	0	1	107000
0	1	0	0	1	105000
0	1	0	1	1	251000
0	1	0	1	1	225000
0	1	0	1	1	244000
1	1	0	0	1	199000
1	1	0	0	1	192000
0	1	0	0	1	114000
0	1	1	0	1	82000
1	1	0	0	1	216000
0	1	0	0	1	101000
1	1	0	0	1	144000
0	1	1	0	1	82000
0	1	0	0	1	102000
0	1	1	0	1	83000
0	1	0	1	1	247000
